Date,Fund_Return,SPY_Return,Residual,Fund,Year,Quantile
2022-01-07,0.0129198223999917,-0.0039534025109252,0.0169094115652356,FRNRX,2022,10
2011-01-31,0.0246361527136431,0.0075163704655945,0.016909758447419,FNARX,2011,10
2025-01-07,0.0049343052926573,-0.0113040339544203,0.0169110864826018,ICPAX,2025,10
2001-10-03,0.0337374439274642,0.016764005789061,0.0169117259812035,ICPAX,2001,10
2021-02-03,0.0178292208133845,0.0007863998242467,0.0169127680999559,VGENX,2021,10
2022-09-13,-0.0268438570925838,-0.0434826177919982,0.016912915820835,FNARX,2022,10
2017-12-26,0.0158223846698954,-0.0011962927720714,0.0169161538430775,FSENX,2017,10
1999-05-20,0.010781849368709,-0.0060227783661193,0.0169190260068113,FSENX,1999,10
2016-04-06,0.0280849241086387,0.0109212372332059,0.0169213376350721,FNARX,2016,10
2023-08-17,0.0093681933348539,-0.0076198011911046,0.0169216719148445,FNARX,2023,10
2001-10-09,0.0114941158307562,-0.0053506484994453,0.0169289543553541,FSENX,2001,10
2018-11-21,0.0205061813350935,0.0034072898673687,0.0169318836759579,RYEIX,2018,10
2023-07-11,0.0237433691396913,0.0063684174654601,0.016932439264569,FSENX,2023,10
2007-10-10,0.0153611737730015,-0.0016618610420494,0.0169414357456509,FSENX,2007,10
2002-12-03,0.0049240408401152,-0.0133852025971858,0.0169418650430285,VGENX,2002,10
2008-09-17,-0.0238964334660631,-0.0449632505539114,0.0169423528696933,VGENX,2008,10
2003-02-26,0.0021709006692613,-0.0145615874485812,0.0169481150761817,FRNRX,2003,10
2015-02-13,0.0209054113155138,0.0041164710735297,0.0169496365544786,VGENX,2015,10
2015-10-05,0.034835857748797,0.017795119983156,0.0169520443332349,ICPAX,2015,10
2020-04-28,0.0129570490283232,-0.0045983613695199,0.0169552129078084,VGENX,2020,10
2005-04-19,0.0253559880594032,0.0079473210397364,0.0169585519128532,RYEIX,2005,10
2011-10-18,0.0366598507817033,0.0195458555086074,0.0169794901572735,ICPAX,2011,10
2011-10-24,0.0294791148957893,0.0122611296783281,0.0169798986947294,FRNRX,2011,10
2005-09-19,0.0139775335962211,-0.0033195924869378,0.0169831844863298,PRNEX,2005,10
2009-10-29,0.0387805558606244,0.0214539545989,0.0169842555329113,FNARX,2009,10
2023-03-20,0.0268380726746972,0.0096157051002114,0.0169924129161051,FNARX,2023,10
2016-11-15,0.0249611596408096,0.0078027815929202,0.0169957056832418,FRNRX,2016,10
2023-06-02,0.0317331636356448,0.0144612471835068,0.0169959587371713,FNARX,2023,10
2002-12-03,0.0036230955950085,-0.0133852025971858,0.0169967116833708,FNARX,2002,10
2000-04-19,0.0082794882732246,-0.0093013816397868,0.0170007845207381,PRNEX,2000,10
2004-09-21,0.0215389520903204,0.0043566648790172,0.017002261316459,FNARX,2004,10
2012-07-03,0.0232188348080606,0.0065934025432929,0.0170023899703468,VGENX,2012,10
2006-10-05,0.0190111373023746,0.0019270330048579,0.0170035973447348,PRNEX,2006,10
2023-04-05,0.0148149272581545,-0.0026181501083563,0.0170057725265832,VGENX,2023,10
2019-06-20,0.0267529355350744,0.0095542770713836,0.0170063590815098,FRNRX,2019,10
2008-06-27,0.0119585189122406,-0.0054589341775317,0.0170083271755529,PRNEX,2008,10
